#Active RPP references from measurements
PHLTA,99B,163,S025MS
PRLTA,46,299,S025DB,S025MDC
PHLTA,102B,209,S030BD
PHLTA,116B,264,S054EXI,S054MXI
PRLTA,51,443,S051:Desig=102
PHLTA,123B,353,S025MS
PRLTA,53,134,S056HEE
PHLTA,152B,439,S025MS,S056HEE
ZEPYA,C31,21,S029AXP,S030CS,S030XL,S046LGN,S077U1C,S077U2D
PHLTA,168B,264,S054EXI
PHRVA,112,1779,S008:Desig=3
PHRVA,119,2050,S008:Desig=1,S008:Desig=2,S008:Desig=3,S008:Desig=5
PHLTA,5,61,S008:Desig=4
PHLTA,7,285,S008:Desig=5
PHRVA,136,B1452,S008:Desig=4
PHRVA,133,B1333,S008:Desig=1,S008:Desig=2,S008:Desig=3,S008:Desig=5
PHRVA,139,B407,S008:Desig=4
PHRVA,139,B617,S008:Desig=4
PHLTA,19,348,S008T
PRLTA,16,775,S008DT
PHRVA,144,1132,S008T
PRLTA,17,548,S008DT
PHLTA,24B,594,S008T
NUPHA,B4,189,S008:Desig=4
PHLTA,32B,723,S008D
PHRVA,D3,1051,S008DM,S008DT,S008T
SJNCA,13,189,S008:Desig=1,S008:Desig=6
SJNCA,16,292,S008T
PRLTA,37,1380,S008M
SPHJA,44,35,S008:Desig=1,S008:Desig=6
JTPLA,23,72,S008M
NUPHA,B138,285,S008FA,S008:Desig=5
NUPHA,A395,413,S008POL
PHLTA,140B,117,S008POL
PHRVA,D32,547,S008:Desig=4
PHLTA,B174,445,S008FA
PHRVA,D33,1211,S008:Desig=1,S008:Desig=2,S008:Desig=3,S008:Desig=5
PRLTA,57,1402,S008FA
SPHJA,11,755,S009:Desig=1,S009:Desig=2
NUCIA,16,997,S009:Desig=1,S009:Desig=2
NUCIA,20,1115,S009A
PHRVA,121,275,S009A,S009:Desig=1,S009:Desig=2
PHRVA,126,1844,S009:Desig=1,S009:Desig=3
PHLTA,19,253,S009:Desig=4
JTPLA,2,243,S009:Desig=4
PHRVA,184,1356,S009A
NUCIA,66A,243,S009T
SPHJA,30,1037,S009T
PRLTA,33,1400,S009T
NUCIA,24A,324,S014:Desig=16
PRLTA,41,275,S009:Desig=4
PHLTA,73B,359,S009A
PHLTA,73B,364,S009:Desig=1,S009:Desig=6
PHLTA,90B,317,S009:Desig=5
PRLTA,44,628,S009:Desig=4
PHLTA,100B,347,S009:Desig=7
PHRVA,D23,639,S009:Desig=1,S009:Desig=2
PHRVA,D26,2538,S009:Desig=8
PRLTA,48,1153,S009:Desig=1,S009:Desig=6
PHRVA,D28,423,S009:Desig=1,S009:Desig=6
PHRVA,D28,2905,S009A
PHRVA,D29,1954,S009:Desig=8
PHLTA,158B,81,S009T
PRLTA,9,322,S014M
PRLTA,8,114,S014M,S014:Desig=1,S014:Desig=7,S014:Desig=8,S014:Desig=3,S014:Desig=101,S014:Desig=2,S014:Desig=4
PRLTA,8,329,S014:Desig=1,S014:Desig=7,S014:Desig=8,S014:Desig=3,S014:Desig=101,S014:Desig=2,S014:Desig=4
PRLTA,11,37,S014:Desig=1,S014:Desig=2
PRLTA,10,546,S014:Desig=2,S014:Desig=3,S014:Desig=1,S014:Desig=4,S014:Desig=8
PHRVA,134,B1138,S014M,S014:Desig=2,S014:Desig=3
PHRVA,136,B496,M001:Desig=1,M001:Desig=13,M001:Desig=191,M001:Desig=3,S014:Desig=1,S014:Desig=7,S014:Desig=3,S014:Desig=101,S014:Desig=2
PHLTA,13,351,S014:Desig=1,S014:Desig=7,S014:Desig=3,S014:Desig=101,S014:Desig=2
PHRVA,138,B652,S014:Desig=2,S014:Desig=3,S014:Desig=1
PRLTA,15,123,S014:Desig=3,S014:Desig=5
PRLTA,15,556,M002A,M002:Desig=18,M002:Desig=10,M002:Desig=16,M002:Desig=17,S014:Desig=5
PHRVA,145,1072,S014:Desig=1,S014:Desig=7,S014:Desig=3,S014:Desig=101,S014:Desig=2
PHRVA,149,1044,S014DP
PRLTA,16,333,S014:Desig=3,S014:Desig=4
PRLTA,16,767,S014:Desig=1,S014:Desig=7,S014:Desig=101,S014:Desig=2
6602550,,,S014:Desig=1,S014:Desig=7,S014:Desig=101,S014:Desig=2
PHRVA,142,896,M001:Desig=1,M001:Desig=13,M001:Desig=191,M001:Desig=3,M009:Desig=1,M009:Desig=21,M009:Desig=22,S014:Desig=1,S014:Desig=7,S014:Desig=8,S014:Desig=3,S014:Desig=101,S014:Desig=2,S014:Desig=4
PHLTA,23,597,S014:Desig=1,S014:Desig=7,S014:Desig=101,S014:Desig=2
PHLTA,23,600,S014DP
